xd,yd,zd,x,y,z
0,0,0,-0.000563174,-0.00932671,0.191292
0,0,0,-0.000563408,-0.00933471,0.191289
0,0,0,-0.000563597,-0.00933977,0.19129
0,0,0,-0.000564043,-0.00934662,0.191292
0,0,0,-0.000564277,-0.00935462,0.191289
0,0,0,-0.000564651,-0.00936056,0.191292
0,0,0,-0.000564911,-0.00936653,0.191292
0,0,0,-0.000565145,-0.00937453,0.191289
0,0,0,-0.000565334,-0.00937959,0.19129
0,0,0,-0.000565779,-0.00938645,0.191292
0,0,0,-0.000566014,-0.00939444,0.191289
0,0,0,-0.000566202,-0.0093995,0.19129
0,0,0,-0.000566647,-0.00940636,0.191292
0,0,0,-0.000566881,-0.00941435,0.191289
0,0,0,-0.00056707,-0.00941942,0.19129
0,0,0,-0.000567515,-0.00942627,0.191292
0,0,0,-0.000567677,-0.00943335,0.19129
0,0,0,-0.000567937,-0.00943933,0.19129
0,0,0,-0.000568382,-0.00944618,0.191292
0,0,0,-0.000568616,-0.00945418,0.191289
0,0,0,-0.000568804,-0.00945924,0.19129
0,0,0,-0.000569249,-0.00946609,0.191292
0,0,0,-0.000569483,-0.00947409,0.191289
0,0,0,-0.000569671,-0.00947915,0.19129
0,0,0,-0.000570116,-0.009486,0.191292
0,0,0,-0.000570349,-0.009494,0.191289
0,0,0,-0.000570537,-0.00949906,0.19129
0,0,0,-0.000570982,-0.00950591,0.191292
0,0,0,-0.000571215,-0.00951391,0.191289
0,0,0,-0.000571403,-0.00951897,0.19129
0,0,0,-0.000571848,-0.00952582,0.191292
0,0,0,-0.000572081,-0.00953382,0.191289
0,0,0,-0.000572269,-0.00953888,0.19129
0,0,0,-0.000572687,-0.00954776,0.191289
0,0,0,-0.000572947,-0.00955373,0.191289
0,0,0,-0.000573135,-0.0095588,0.19129
0,0,0,-0.000573579,-0.00956565,0.191292
0,0,0,-0.000573812,-0.00957364,0.191289
0,0,0,-0.000574185,-0.00957958,0.191292
0,0,0,-0.000574444,-0.00958556,0.191292
0,0,0,-0.000574677,-0.00959356,0.191289
0,0,0,-0.000574865,-0.00959862,0.19129
0,0,0,-0.000575309,-0.00960547,0.191292
0,0,0,-0.000575542,-0.00961347,0.191289
0,0,0,-0.00057573,-0.00961853,0.19129
0,0,0,-0.000576173,-0.00962538,0.191292
0,0,0,-0.000576407,-0.00963338,0.191289
0,0,0,-0.000576594,-0.00963844,0.19129
0,0,0,-0.000577038,-0.0096453,0.191292
0,0,0,-0.000577271,-0.00965329,0.191289
0,0,0,-0.000577458,-0.00965836,0.19129
0,0,0,-0.000577902,-0.00966521,0.191292
0,0,0,-0.000578135,-0.00967321,0.191289
0,0,0,-0.000578322,-0.00967827,0.19129
0,0,0,-0.000578765,-0.00968512,0.191292
0,0,0,-0.000578998,-0.00969312,0.191289
0,0,0,-0.000579185,-0.00969818,0.19129
0,0,0,-0.000579628,-0.00970503,0.191292
0,0,0,-0.000579861,-0.00971303,0.191289
0,0,0,-0.000580048,-0.00971809,0.19129
0,0,0,-0.000580491,-0.00972494,0.191292
0,0,0,-0.000580724,-0.00973294,0.191289
0,0,0,-0.000580911,-0.00973801,0.19129
0,0,0,-0.000581354,-0.00974486,0.191292
0,0,0,-0.000581587,-0.00975286,0.191289
0,0,0,-0.000581774,-0.00975792,0.19129
0,0,0,-0.000582217,-0.00976477,0.191292
0,0,0,-0.000582449,-0.00977277,0.191289
0,0,0,-0.000582636,-0.00977783,0.19129
0,0,0,-0.000583079,-0.00978468,0.191292
0,0,0,-0.000583311,-0.00979268,0.191289
0,0,0,-0.000583498,-0.00979774,0.19129
0,0,0,-0.000583941,-0.0098046,0.191292
0,0,0,-0.000584173,-0.0098126,0.191289
0,0,0,-0.000584359,-0.00981766,0.19129
0,0,0,-0.000584776,-0.00982653,0.191289
0,0,0,-0.000585035,-0.00983251,0.191289
0,0,0,-0.000585221,-0.00983757,0.19129
0,0,0,-0.000585663,-0.00984442,0.191292
0,0,0,-0.000585896,-0.00985242,0.191289
0,0,0,-0.000586082,-0.00985748,0.19129
0,0,0,-0.000586524,-0.00986434,0.191292
0,0,0,-0.000586757,-0.00987234,0.191289
0,0,0,-0.000587015,-0.00987831,0.191289
0,0,0,-0.000587385,-0.00988425,0.191292
0,0,0,-0.000587617,-0.00989225,0.191289
0,0,0,-0.000587875,-0.00989822,0.191289
0,0,0,-0.000588245,-0.00990416,0.191292
0,0,0,-0.000588477,-0.00991216,0.191289
0,0,0,-0.000588663,-0.00991722,0.19129
0,0,0,-0.000589105,-0.00992408,0.191292
0,0,0,-0.000589337,-0.00993208,0.191289
0,0,0,-0.000589523,-0.00993714,0.19129
0,0,0,-0.000589939,-0.00994602,0.191289
0,0,0,-0.000590197,-0.00995199,0.191289
0,0,0,-0.000590383,-0.00995705,0.19129
0,0,0,-0.000590824,-0.00996391,0.191292
0,0,0,-0.000591056,-0.0099719,0.191289
0,0,0,-0.000591242,-0.00997697,0.19129
0,0,0,-0.000591684,-0.00998382,0.191292
0,0,0,-0.000591843,-0.00999091,0.19129
