xd,yd,zd,x,y,z
0,0,0,0.497134,-0.00143515,0.191291
0,0,0,0.497132,-0.00143683,0.191289
0,0,0,0.49713,-0.00143543,0.19129
0,0,0,0.497129,-0.00143709,0.191291
0,0,0,0.497127,-0.00143761,0.191291
0,0,0,0.497124,-0.00143897,0.191289
0,0,0,0.497121,-0.00143758,0.19129
0,0,0,0.497121,-0.00143923,0.191291
0,0,0,0.497119,-0.00143975,0.191291
0,0,0,0.497116,-0.00144112,0.191289
0,0,0,0.497113,-0.00143972,0.19129
0,0,0,0.497113,-0.0014414,0.191281
0,0,0,0.497111,-0.00144189,0.191291
0,0,0,0.497108,-0.00144326,0.191289
0,0,0,0.497105,-0.00144186,0.19129
0,0,0,0.497105,-0.00144354,0.191281
0,0,0,0.497102,-0.00144403,0.191291
0,0,0,0.4971,-0.0014454,0.191289
0,0,0,0.497097,-0.001444,0.19129
0,0,0,0.497097,-0.00144566,0.191291
0,0,0,0.497094,-0.00144617,0.191291
0,0,0,0.497092,-0.00144754,0.191289
0,0,0,0.497089,-0.00144614,0.19129
0,0,0,0.497089,-0.0014478,0.191291
0,0,0,0.497086,-0.00144831,0.191291
0,0,0,0.497084,-0.00144968,0.191289
0,0,0,0.497081,-0.00144828,0.19129
0,0,0,0.497081,-0.00144996,0.191281
0,0,0,0.497078,-0.00145045,0.191291
0,0,0,0.497076,-0.00145182,0.191289
0,0,0,0.497073,-0.00145042,0.19129
0,0,0,0.497072,-0.00145208,0.191291
0,0,0,0.49707,-0.00145259,0.191291
0,0,0,0.497067,-0.00145396,0.191289
0,0,0,0.497065,-0.00145256,0.19129
0,0,0,0.497064,-0.00145424,0.191281
0,0,0,0.497062,-0.00145473,0.191291
0,0,0,0.497059,-0.0014561,0.191289
0,0,0,0.497057,-0.0014547,0.19129
0,0,0,0.497056,-0.00145636,0.191291
0,0,0,0.497054,-0.00145687,0.191291
0,0,0,0.497051,-0.00145824,0.191289
0,0,0,0.497049,-0.00145684,0.19129
0,0,0,0.497048,-0.0014585,0.191291
0,0,0,0.497046,-0.00145901,0.191291
0,0,0,0.497043,-0.00145871,0.19129
0,0,0,0.497041,-0.00145898,0.19129
0,0,0,0.49704,-0.00146063,0.191291
0,0,0,0.497038,-0.00146115,0.191291
0,0,0,0.497035,-0.00146251,0.191289
0,0,0,0.497033,-0.00146112,0.19129
0,0,0,0.497032,-0.00146277,0.191291
0,0,0,0.49703,-0.00146329,0.191291
0,0,0,0.497027,-0.00146465,0.191289
0,0,0,0.497024,-0.00146326,0.19129
0,0,0,0.497024,-0.00146491,0.191291
0,0,0,0.497022,-0.00146543,0.191291
0,0,0,0.497019,-0.00146679,0.191289
0,0,0,0.497017,-0.0014666,0.191291
0,0,0,0.497016,-0.00146705,0.191291
0,0,0,0.497014,-0.00146756,0.191291
0,0,0,0.497011,-0.00146893,0.191289
0,0,0,0.497008,-0.00146753,0.19129
0,0,0,0.497008,-0.00146919,0.191291
0,0,0,0.497005,-0.0014697,0.191291
0,0,0,0.497003,-0.00147107,0.191289
0,0,0,0.497,-0.00146967,0.19129
0,0,0,0.497,-0.00147133,0.191291
0,0,0,0.496997,-0.00147184,0.191291
