xd,yd,zd,x,y,z,phi,the,psi,fx
0,0,0,-0.000318517,-0.000317868,0.191291,2.38E-07,-4.63E-07,0.0011529,0.00433398
0,0,0,-0.000321148,-0.000319214,0.191289,2.17E-05,6.52E-07,0.00115489,0.0032806
0,0,0,-0.000323569,-0.000317769,0.19129,-8.02E-06,1.77E-05,0.00115984,0.00646309
0,0,0,-0.000323937,-0.000319432,0.191291,-2.25E-08,-2.92E-07,0.00116552,0.00145652
0,0,0,-0.000326827,-0.000319622,0.191291,-2.03E-06,-5.91E-07,0.00116914,0.00438762
0,0,0,-0.000328769,-0.000321287,0.191289,2.17E-05,6.52E-07,0.00117088,0.00331851
0,0,0,-0.00033119,-0.000319843,0.19129,-8.02E-06,1.77E-05,0.00117582,0.00650143
0,0,0,-0.000331559,-0.000321506,0.191291,-2.25E-08,-2.92E-07,0.0011815,0.00149477
0,0,0,-0.00033376,-0.000322014,0.191291,2.38E-07,-4.63E-07,0.00118487,0.00441008
0,0,0,-0.000335973,-0.00032211,0.191291,-2.03E-06,-5.91E-07,0.00118832,0.00443329
0,0,0,-0.000337697,-0.000323128,0.191291,-1.40E-07,-1.80E-07,0.00119413,-0.00277202
0,0,0,-0.000339181,-0.000323579,0.191291,-2.25E-08,-2.92E-07,0.00119748,0.00153303
0,0,0,-0.000341383,-0.000324088,0.191291,2.38E-07,-4.63E-07,0.00120084,0.00444814
0,0,0,-0.000344014,-0.000325434,0.191289,2.17E-05,6.52E-07,0.00120283,0.00339434
0,0,0,-0.000346435,-0.00032399,0.19129,-8.02E-06,1.77E-05,0.00120777,0.00657814
0,0,0,-0.000346804,-0.000325653,0.191291,-2.25E-08,-2.92E-07,0.00121345,0.00157128
0,0,0,-0.000349006,-0.000326162,0.191291,2.38E-07,-4.63E-07,0.00121681,0.0044862
0,0,0,-0.000351638,-0.000327508,0.191289,2.17E-05,6.52E-07,0.0012188,0.00343226
0,0,0,-0.000354059,-0.000326064,0.19129,-8.02E-06,1.77E-05,0.00122374,0.0066165
0,0,0,-0.000354416,-0.000327764,0.191281,-5.66E-08,-4.07E-06,0.00122958,0.00172209
0,0,0,-0.000356631,-0.000328236,0.191291,2.38E-07,-4.63E-07,0.00123278,0.00452427
0,0,0,-0.000359262,-0.000329582,0.191289,2.17E-05,6.52E-07,0.00123476,0.00347018
0,0,0,-0.000361684,-0.000328138,0.19129,-8.02E-06,1.77E-05,0.0012397,0.00665486
0,0,0,-0.000362041,-0.000329838,0.191281,-5.66E-08,-4.07E-06,0.00124554,0.00176036
0,0,0,-0.000364256,-0.000330311,0.191291,2.38E-07,-4.63E-07,0.00124873,0.00456234
0,0,0,-0.000366888,-0.000331657,0.191289,2.17E-05,6.52E-07,0.00125071,0.00350811
0,0,0,-0.00036931,-0.000330213,0.19129,-8.02E-06,1.77E-05,0.00125565,0.00669323
0,0,0,-0.000369679,-0.000331876,0.191291,-2.25E-08,-2.92E-07,0.00126132,0.00168608
0,0,0,-0.000371882,-0.000332385,0.191291,2.38E-07,-4.63E-07,0.00126468,0.00460041
0,0,0,-0.000374514,-0.000333732,0.191289,2.17E-05,6.52E-07,0.00126667,0.00354605
0,0,0,-0.000376936,-0.000332288,0.19129,-8.02E-06,1.77E-05,0.0012716,0.0067316
0,0,0,-0.000377306,-0.000333951,0.191291,-2.25E-08,-2.92E-07,0.00127727,0.00172435
0,0,0,-0.000378819,-0.000334403,0.191281,-5.66E-08,-4.07E-06,0.00128063,0.00184456
0,0,0,-0.000382141,-0.000335807,0.191289,2.17E-05,6.52E-07,0.00128261,0.00358398
0,0,0,-0.000384563,-0.000334363,0.19129,-8.02E-06,1.77E-05,0.00128755,0.00676998
0,0,0,-0.000384934,-0.000336026,0.191291,-2.25E-08,-2.92E-07,0.00129321,0.00176263
0,0,0,-0.000387825,-0.000336217,0.191291,-2.03E-06,-5.92E-07,0.00129683,0.00469218
0,0,0,-0.000389769,-0.000337882,0.191289,2.17E-05,6.52E-07,0.00129855,0.00362193
0,0,0,-0.000392192,-0.000336439,0.19129,-8.02E-06,1.77E-05,0.00130349,0.00680836
0,0,0,-0.000392562,-0.000338102,0.191291,-2.25E-08,-2.91E-07,0.00130915,0.00180091
0,0,0,-0.000394765,-0.000338611,0.191291,2.38E-07,-4.63E-07,0.00131251,0.00471466
0,0,0,-0.000397397,-0.000339958,0.191289,2.17E-05,6.52E-07,0.00131448,0.00365987
0,0,0,-0.000399821,-0.000338514,0.19129,-8.02E-06,1.77E-05,0.00131942,0.00684674
0,0,0,-0.000400191,-0.000340178,0.191291,-2.26E-08,-2.91E-07,0.00132508,0.0018392
0,0,0,-0.000402395,-0.000340687,0.191291,2.38E-07,-4.63E-07,0.00132844,0.00475276
0,0,0,-0.000405027,-0.000342034,0.191289,2.17E-05,6.52E-07,0.00133041,0.00369782
0,0,0,-0.00040745,-0.000340591,0.19129,-8.02E-06,1.77E-05,0.00133535,0.00688513
0,0,0,-0.000407822,-0.000342254,0.191291,-2.26E-08,-2.91E-07,0.00134101,0.00187749
0,0,0,-0.000410025,-0.000342763,0.191291,2.38E-07,-4.63E-07,0.00134436,0.00479085
0,0,0,-0.000412657,-0.00034411,0.191289,2.17E-05,6.52E-07,0.00134634,0.00373578
0,0,0,-0.000413967,-0.000343878,0.191291,-1.40E-07,-1.80E-07,0.00135359,-0.00238797
0,0,0,-0.000415493,-0.000344294,0.191291,-1.40E-07,-1.80E-07,0.00135678,-0.00238028
0,0,0,-0.000417656,-0.00034484,0.191291,2.38E-07,-4.63E-07,0.00136028,0.00482895
0,0,0,-0.000419974,-0.000344518,0.19129,-6.40E-06,-1.58E-06,0.00136309,0.000841778
0,0,0,-0.000422713,-0.000344744,0.19129,-8.02E-06,1.77E-05,0.00136718,0.00696192
0,0,0,-0.000423084,-0.000346407,0.191291,-2.26E-08,-2.91E-07,0.00137284,0.00195408
0,0,0,-0.000425288,-0.000346916,0.191291,2.38E-07,-4.63E-07,0.00137619,0.00486706
0,0,0,-0.000427921,-0.000348263,0.191289,2.17E-05,6.52E-07,0.00137816,0.0038117
0,0,0,-0.000430345,-0.00034682,0.19129,-8.02E-06,1.77E-05,0.00138309,0.00700032
0,0,0,-0.000430717,-0.000348484,0.191291,-2.26E-08,-2.91E-07,0.00138875,0.00199238
0,0,0,-0.000432921,-0.000348993,0.191291,2.38E-07,-4.62E-07,0.0013921,0.00490517
0,0,0,-0.000435239,-0.000348672,0.19129,-6.40E-06,-1.58E-06,0.0013949,0.000918509
0,0,0,-0.000437978,-0.000348898,0.19129,-8.02E-06,1.77E-05,0.001399,0.00703873
0,0,0,-0.000438351,-0.000350561,0.191291,-2.26E-08,-2.91E-07,0.00140465,0.00203069
0,0,0,-0.000440555,-0.00035107,0.191291,2.38E-07,-4.62E-07,0.001408,0.00494328
0,0,0,-0.000443188,-0.000352418,0.191289,2.17E-05,6.52E-07,0.00140997,0.00388765
0,0,0,-0.000445612,-0.000350975,0.19129,-8.02E-06,1.77E-05,0.0014149,0.00707713
0,0,0,-0.000445985,-0.000352638,0.191291,-2.26E-08,-2.91E-07,0.00142055,0.002069
0,0,0,-0.000448189,-0.000353148,0.191291,2.38E-07,-4.62E-07,0.0014239,0.0049814
0,0,0,-0.000450822,-0.000354495,0.191289,2.17E-05,6.52E-07,0.00142587,0.00392562
0,0,0,-0.000453247,-0.000353053,0.19129,-8.02E-06,1.77E-05,0.00143079,0.00711555
0,0,0,-0.00045362,-0.000354716,0.191291,-2.26E-08,-2.91E-07,0.00143644,0.00210732
0,0,0,-0.000455825,-0.000355226,0.191291,2.38E-07,-4.62E-07,0.00143979,0.00501952
0,0,0,-0.000458458,-0.000356573,0.191289,2.17E-05,6.52E-07,0.00144176,0.0039636
0,0,0,-0.000460883,-0.000355131,0.19129,-8.02E-06,1.77E-05,0.00144668,0.00715397
0,0,0,-0.000461256,-0.000356794,0.191291,-2.26E-08,-2.91E-07,0.00145233,0.00214564
0,0,0,-0.000463461,-0.000357304,0.191291,2.38E-07,-4.62E-07,0.00145567,0.00505765
0,0,0,-0.00046578,-0.000356983,0.19129,-6.41E-06,-1.58E-06,0.00145847,0.00107202
0,0,0,-0.00046852,-0.000357209,0.19129,-8.02E-06,1.77E-05,0.00146256,0.00719239
0,0,0,-0.000468881,-0.000358909,0.191281,-5.67E-08,-4.07E-06,0.00146838,0.00229655
0,0,0,-0.000471098,-0.000359382,0.191291,2.38E-07,-4.62E-07,0.00147155,0.00509578
0,0,0,-0.000473731,-0.00036073,0.191289,2.17E-05,6.52E-07,0.00147352,0.00403958
0,0,0,-0.000475043,-0.000360499,0.191291,-1.40E-07,-1.80E-07,0.00148076,-0.00208043
