xd,yd,zd,x,y,z
0,0,0,-0.00270153,-0.000955937,0.19129
0,0,0,-0.00270197,-0.000957638,0.191281
0,0,0,-0.00270423,-0.000958128,0.191291
0,0,0,-0.00270689,-0.000959496,0.191289
0,0,0,-0.00270939,-0.000958088,0.19129
0,0,0,-0.00270984,-0.000959757,0.191291
0,0,0,-0.00271209,-0.000960279,0.191291
0,0,0,-0.00271445,-0.000959983,0.19129
0,0,0,-0.00271725,-0.000960238,0.19129
0,0,0,-0.0027177,-0.000961908,0.191291
0,0,0,-0.00271996,-0.00096243,0.191291
0,0,0,-0.00272262,-0.000963798,0.191289
0,0,0,-0.00272512,-0.00096239,0.19129
0,0,0,-0.00272557,-0.000964059,0.191291
0,0,0,-0.00272782,-0.000964581,0.191291
0,0,0,-0.00273048,-0.000965949,0.191289
0,0,0,-0.00273299,-0.000964541,0.19129
0,0,0,-0.00273343,-0.00096621,0.191291
0,0,0,-0.00273569,-0.000966732,0.191291
0,0,0,-0.00273835,-0.000968101,0.191289
0,0,0,-0.00274085,-0.000966692,0.19129
0,0,0,-0.0027413,-0.000968362,0.191291
0,0,0,-0.00274356,-0.000968884,0.191291
0,0,0,-0.00274622,-0.000970252,0.191289
0,0,0,-0.00274872,-0.000968844,0.19129
0,0,0,-0.00274917,-0.000970514,0.191291
0,0,0,-0.00275142,-0.000971035,0.191291
0,0,0,-0.00275409,-0.000972404,0.191289
0,0,0,-0.00275659,-0.000970996,0.19129
0,0,0,-0.00275703,-0.000972665,0.191291
0,0,0,-0.00275929,-0.000973187,0.191291
0,0,0,-0.00276195,-0.000974556,0.191289
0,0,0,-0.00276446,-0.000973148,0.19129
0,0,0,-0.0027649,-0.000974817,0.191291
0,0,0,-0.00276716,-0.000975339,0.191291
0,0,0,-0.00276982,-0.000976708,0.191289
0,0,0,-0.00277123,-0.000976508,0.191291
0,0,0,-0.00277277,-0.000976969,0.191291
0,0,0,-0.00277571,-0.000977176,0.191291
0,0,0,-0.00277769,-0.00097886,0.191289
0,0,0,-0.0027802,-0.000977452,0.19129
0,0,0,-0.00278064,-0.000979121,0.191291
0,0,0,-0.0027829,-0.000979643,0.191291
0,0,0,-0.00278556,-0.000981012,0.191289
0,0,0,-0.00278807,-0.000979604,0.19129
0,0,0,-0.00278852,-0.000981273,0.191291
0,0,0,-0.00279077,-0.000981795,0.191291
0,0,0,-0.00279314,-0.000981501,0.19129
0,0,0,-0.00279484,-0.000982964,0.191291
0,0,0,-0.00279638,-0.000983457,0.191281
0,0,0,-0.00279864,-0.000983948,0.191291
0,0,0,-0.00280131,-0.000985317,0.191289
0,0,0,-0.00280258,-0.000984084,0.19129
0,0,0,-0.00280426,-0.000985578,0.191291
0,0,0,-0.00280652,-0.0009861,0.191291
0,0,0,-0.00280918,-0.000987469,0.191289
0,0,0,-0.00281168,-0.000986062,0.19129
0,0,0,-0.00281213,-0.000987731,0.191291
0,0,0,-0.00281439,-0.000988253,0.191291
0,0,0,-0.00281675,-0.000987958,0.19129
0,0,0,-0.00281956,-0.000988215,0.19129
0,0,0,-0.00282001,-0.000989884,0.191291
0,0,0,-0.00282226,-0.000990405,0.191291
0,0,0,-0.00282493,-0.000991775,0.191289
0,0,0,-0.00282743,-0.000990367,0.19129
0,0,0,-0.00282788,-0.000992037,0.191291
0,0,0,-0.00283014,-0.000992558,0.191291
0,0,0,-0.0028328,-0.000993928,0.191289
0,0,0,-0.00283531,-0.00099252,0.19129
0,0,0,-0.00283576,-0.00099419,0.191291
0,0,0,-0.00283802,-0.000994711,0.191291
0,0,0,-0.00284068,-0.000996081,0.191289
0,0,0,-0.00284209,-0.000995881,0.191291
0,0,0,-0.00284363,-0.000996343,0.191291
0,0,0,-0.00284589,-0.000996865,0.191291
0,0,0,-0.00284856,-0.000998234,0.191289
0,0,0,-0.00285106,-0.000996827,0.19129
0,0,0,-0.00285151,-0.000998496,0.191291
0,0,0,-0.00285377,-0.000999018,0.191291
0,0,0,-0.00285643,-0.00100039,0.191289
0,0,0,-0.00285894,-0.00099898,0.19129
0,0,0,-0.00285939,-0.00100065,0.191291
0,0,0,-0.00286165,-0.00100117,0.191291
0,0,0,-0.00286431,-0.00100254,0.191289
0,0,0,-0.00286682,-0.00100113,0.19129
0,0,0,-0.00286727,-0.0010028,0.191291
0,0,0,-0.00286953,-0.00100332,0.191291
0,0,0,-0.00287219,-0.00100469,0.191289
0,0,0,-0.00287469,-0.00100329,0.19129
0,0,0,-0.00287515,-0.00100496,0.191291
0,0,0,-0.0028774,-0.00100548,0.191291
0,0,0,-0.00288007,-0.00100685,0.191289
0,0,0,-0.00288257,-0.00100544,0.19129
0,0,0,-0.00288303,-0.00100711,0.191291
0,0,0,-0.00288528,-0.00100763,0.191291
0,0,0,-0.00288795,-0.001009,0.191289
0,0,0,-0.00289045,-0.0010076,0.19129
0,0,0,-0.00289091,-0.00100926,0.191291
0,0,0,-0.00289317,-0.00100979,0.191291
0,0,0,-0.00289583,-0.00101116,0.191289
0,0,0,-0.00289834,-0.00100975,0.19129
