xd,yd,zd,x,y,z,phi,the,psi,fx
0,0,0,-0.00250578,-0.000831133,0.191289,2.17E-05,6.50E-07,0.00530812,
0,0,0,-0.00250828,-0.000829719,0.19129,-8.03E-06,1.77E-05,0.00531267,
0,0,0,-0.00250872,-0.000831387,0.191291,-2.28E-08,-2.78E-07,0.00531793,
0,0,0,-0.00251097,-0.000831906,0.191291,2.36E-07,-4.58E-07,0.00532096,
0,0,0,-0.00251363,-0.000833271,0.191289,2.17E-05,6.50E-07,0.00532263,
0,0,0,-0.00251612,-0.000831857,0.19129,-8.03E-06,1.77E-05,0.00532718,
0,0,0,-0.00251656,-0.000833525,0.191291,-2.28E-08,-2.78E-07,0.00533245,
0,0,0,-0.00251881,-0.000834044,0.191291,2.36E-07,-4.58E-07,0.00533547,
0,0,0,-0.00252147,-0.000835409,0.191289,2.17E-05,6.50E-07,0.00533714,
0,0,0,-0.00252396,-0.000833996,0.19129,-8.03E-06,1.77E-05,0.00534169,
0,0,0,-0.0025244,-0.000835696,0.191281,-5.54E-08,-4.04E-06,0.00534707,
0,0,0,-0.00252666,-0.000836183,0.191291,2.36E-07,-4.58E-07,0.00534997,
0,0,0,-0.00252932,-0.000837548,0.191289,2.17E-05,6.50E-07,0.00535165,
0,0,0,-0.00253181,-0.000836135,0.19129,-8.03E-06,1.77E-05,0.0053562,
0,0,0,-0.00253225,-0.000837802,0.191291,-2.28E-08,-2.78E-07,0.00536145,
0,0,0,-0.0025345,-0.000838322,0.191291,2.36E-07,-4.58E-07,0.00536447,
0,0,0,-0.00253716,-0.000839687,0.191289,2.17E-05,6.50E-07,0.00536615,
0,0,0,-0.00253966,-0.000838274,0.19129,-8.03E-06,1.77E-05,0.00537069,
0,0,0,-0.00254009,-0.000839974,0.191281,-5.54E-08,-4.04E-06,0.00537607,
0,0,0,-0.00254235,-0.000840461,0.191291,2.36E-07,-4.58E-07,0.00537897,
0,0,0,-0.00254501,-0.000841826,0.191289,2.17E-05,6.50E-07,0.00538064,
0,0,0,-0.0025475,-0.000840413,0.19129,-8.03E-06,1.77E-05,0.00538519,
0,0,0,-0.00254794,-0.000842113,0.191281,-5.54E-08,-4.04E-06,0.00539056,
0,0,0,-0.0025502,-0.0008426,0.191291,2.36E-07,-4.58E-07,0.00539346,
0,0,0,-0.00255286,-0.000843966,0.191289,2.17E-05,6.50E-07,0.00539513,
0,0,0,-0.00255535,-0.000842553,0.19129,-8.03E-06,1.77E-05,0.00539967,
0,0,0,-0.00255579,-0.00084422,0.191291,-2.28E-08,-2.78E-07,0.00540493,
0,0,0,-0.00255804,-0.00084474,0.191291,2.36E-07,-4.58E-07,0.00540794,
0,0,0,-0.0025607,-0.000846105,0.191289,2.17E-05,6.50E-07,0.00540961,
0,0,0,-0.0025632,-0.000844692,0.19129,-8.03E-06,1.77E-05,0.00541416,
0,0,0,-0.00256364,-0.00084636,0.191291,-2.28E-08,-2.78E-07,0.00541941,
0,0,0,-0.00256589,-0.00084688,0.191291,2.36E-07,-4.58E-07,0.00542242,
0,0,0,-0.00256815,-0.000846992,0.191291,-2.03E-06,-6.12E-07,0.00542557,
0,0,0,-0.00256982,-0.000847009,0.19129,-6.44E-06,-1.59E-06,0.00542776,
0,0,0,-0.00257149,-0.0008485,0.191291,-2.28E-08,-2.78E-07,0.00543388,
0,0,0,-0.00257306,-0.00084896,0.191281,-5.54E-08,-4.04E-06,0.0054369,
0,0,0,-0.0025761,-0.000848721,0.19129,-6.44E-06,-1.59E-06,0.00543934,
0,0,0,-0.0025789,-0.000848973,0.19129,-8.03E-06,1.77E-05,0.00544311,
0,0,0,-0.00257934,-0.000850641,0.191291,-2.28E-08,-2.78E-07,0.00544836,
0,0,0,-0.00258159,-0.00085116,0.191291,2.36E-07,-4.58E-07,0.00545137,
0,0,0,-0.00258395,-0.000850861,0.19129,-6.44E-06,-1.59E-06,0.0054538,
0,0,0,-0.00258675,-0.000851113,0.19129,-8.03E-06,1.77E-05,0.00545757,
0,0,0,-0.00258719,-0.000852781,0.191291,-2.28E-08,-2.78E-07,0.00546282,
0,0,0,-0.00258944,-0.000853301,0.191291,2.36E-07,-4.58E-07,0.00546583,
0,0,0,-0.0025921,-0.000854666,0.191289,2.17E-05,6.50E-07,0.00546749,
0,0,0,-0.0025946,-0.000853254,0.19129,-8.03E-06,1.77E-05,0.00547203,
0,0,0,-0.00259504,-0.000854954,0.191281,-5.54E-08,-4.04E-06,0.0054774,
0,0,0,-0.0025973,-0.000855441,0.191291,2.36E-07,-4.58E-07,0.00548029,
0,0,0,-0.00259996,-0.000856807,0.191289,2.17E-05,6.50E-07,0.00548195,
0,0,0,-0.00260136,-0.000856603,0.191291,-1.41E-07,-1.81E-07,0.00548875,
0,0,0,-0.0026029,-0.000857063,0.191291,-2.28E-08,-2.78E-07,0.00549174,
0,0,0,-0.00260515,-0.000857582,0.191291,2.36E-07,-4.58E-07,0.00549474,
0,0,0,-0.00260781,-0.000858948,0.191289,2.17E-05,6.50E-07,0.00549641,
0,0,0,-0.00261031,-0.000857536,0.19129,-8.03E-06,1.77E-05,0.00550094,
0,0,0,-0.00261075,-0.000859204,0.191291,-2.28E-08,-2.78E-07,0.00550618,
0,0,0,-0.002613,-0.000859724,0.191291,2.36E-07,-4.58E-07,0.00550919,
0,0,0,-0.00261536,-0.000859425,0.19129,-6.44E-06,-1.59E-06,0.00551162,
0,0,0,-0.00261816,-0.000859678,0.19129,-8.03E-06,1.77E-05,0.00551539,
0,0,0,-0.0026186,-0.000861346,0.191291,-2.28E-08,-2.78E-07,0.00552063,
0,0,0,-0.00262086,-0.000861865,0.191291,2.36E-07,-4.58E-07,0.00552363,
0,0,0,-0.00262352,-0.000863231,0.191289,2.17E-05,6.50E-07,0.00552529,
0,0,0,-0.00262601,-0.000861819,0.19129,-8.03E-06,1.77E-05,0.00552983,
0,0,0,-0.00262646,-0.000863487,0.191291,-2.27E-08,-2.78E-07,0.00553507,
0,0,0,-0.0026294,-0.000863692,0.191291,-2.03E-06,-6.13E-07,0.00553832,
0,0,0,-0.00263137,-0.000865373,0.191289,2.17E-05,6.50E-07,0.00553973,
0,0,0,-0.00263387,-0.000863961,0.19129,-8.03E-06,1.77E-05,0.00554426,
0,0,0,-0.00263431,-0.000865629,0.191291,-2.27E-08,-2.78E-07,0.0055495,
0,0,0,-0.00263657,-0.000866149,0.191291,2.36E-07,-4.58E-07,0.00555251,
0,0,0,-0.00263923,-0.000867515,0.191289,2.17E-05,6.50E-07,0.00555416,
0,0,0,-0.00264173,-0.000866104,0.19129,-8.03E-06,1.77E-05,0.00555869,
0,0,0,-0.00264217,-0.000867772,0.191291,-2.27E-08,-2.78E-07,0.00556393,
0,0,0,-0.00264442,-0.000868291,0.191291,2.36E-07,-4.58E-07,0.00556693,
0,0,0,-0.00264708,-0.000869658,0.191289,2.17E-05,6.50E-07,0.00556859,
0,0,0,-0.00264958,-0.000868246,0.19129,-8.03E-06,1.77E-05,0.00557312,
0,0,0,-0.00265003,-0.000869914,0.191291,-2.27E-08,-2.78E-07,0.00557836,
0,0,0,-0.00265228,-0.000870434,0.191291,2.36E-07,-4.58E-07,0.00558136,
0,0,0,-0.00265494,-0.0008718,0.191289,2.17E-05,6.50E-07,0.00558301,
0,0,0,-0.00265744,-0.000870389,0.19129,-8.03E-06,1.77E-05,0.00558754,
0,0,0,-0.00265788,-0.000872057,0.191291,-2.27E-08,-2.78E-07,0.00559277,
0,0,0,-0.00266014,-0.000872576,0.191291,2.36E-07,-4.58E-07,0.00559577,
0,0,0,-0.0026625,-0.000872279,0.19129,-6.44E-06,-1.59E-06,0.0055982,
0,0,0,-0.0026653,-0.000872531,0.19129,-8.03E-06,1.77E-05,0.00560195,
0,0,0,-0.00266574,-0.0008742,0.191291,-2.27E-08,-2.78E-07,0.00560719,
0,0,0,-0.00266868,-0.000874404,0.191291,-2.03E-06,-6.13E-07,0.00561044,
0,0,0,-0.00267066,-0.000876086,0.191289,2.17E-05,6.50E-07,0.00561184,
