xd,yd,zd,x,y,z,phi,the,psi
0,0,0,-0.00651061,-0.00188923,0.191291,2.34E-07,-4.54E-07,0.0118554
0,0,0,-0.00651305,-0.00188894,0.19129,-6.48E-06,-1.60E-06,0.0118572
0,0,0,-0.00651594,-0.00188922,0.19129,-8.04E-06,1.76E-05,0.0118603
0,0,0,-0.0065165,-0.00189088,0.191291,-1.22E-08,-2.76E-07,0.0118649
0,0,0,-0.00651884,-0.0018914,0.191291,2.34E-07,-4.54E-07,0.0118673
0,0,0,-0.00652156,-0.00189277,0.191289,2.17E-05,6.53E-07,0.0118684
0,0,0,-0.00652418,-0.00189139,0.19129,-8.04E-06,1.76E-05,0.0118722
0,0,0,-0.00652473,-0.00189305,0.191291,-1.22E-08,-2.75E-07,0.0118768
0,0,0,-0.00652707,-0.00189357,0.191291,2.34E-07,-4.54E-07,0.0118792
0,0,0,-0.0065298,-0.00189495,0.191289,2.17E-05,6.53E-07,0.0118803
0,0,0,-0.00653134,-0.00189476,0.191291,-1.32E-07,-1.82E-07,0.0118863
0,0,0,-0.00653297,-0.00189522,0.191291,-1.22E-08,-2.75E-07,0.0118887
0,0,0,-0.00653531,-0.00189575,0.191291,2.34E-07,-4.53E-07,0.0118911
0,0,0,-0.00653803,-0.00189712,0.191289,2.17E-05,6.53E-07,0.0118922
0,0,0,-0.00654064,-0.00189574,0.19129,-8.04E-06,1.76E-05,0.0118961
0,0,0,-0.0065412,-0.0018974,0.191291,-1.22E-08,-2.75E-07,0.0119006
0,0,0,-0.00654354,-0.00189792,0.191291,2.34E-07,-4.53E-07,0.011903
0,0,0,-0.00654626,-0.00189929,0.191289,2.17E-05,6.53E-07,0.0119041
0,0,0,-0.00654888,-0.00189791,0.19129,-8.04E-06,1.76E-05,0.011908
0,0,0,-0.00654943,-0.00189957,0.191291,-1.22E-08,-2.75E-07,0.0119125
0,0,0,-0.00655178,-0.00190009,0.191291,2.33E-07,-4.53E-07,0.0119149
0,0,0,-0.0065545,-0.00190147,0.191289,2.17E-05,6.53E-07,0.011916
0,0,0,-0.00655711,-0.00190008,0.19129,-8.04E-06,1.76E-05,0.0119199
0,0,0,-0.00655767,-0.00190174,0.191291,-1.22E-08,-2.75E-07,0.0119244
0,0,0,-0.00656001,-0.00190227,0.191291,2.33E-07,-4.53E-07,0.0119268
0,0,0,-0.00656273,-0.00190364,0.191289,2.17E-05,6.53E-07,0.0119279
0,0,0,-0.00656535,-0.00190226,0.19129,-8.04E-06,1.76E-05,0.0119318
0,0,0,-0.00656591,-0.00190394,0.191281,-4.49E-08,-4.03E-06,0.0119363
0,0,0,-0.00656824,-0.00190444,0.191291,2.33E-07,-4.53E-07,0.0119387
0,0,0,-0.00657097,-0.00190581,0.191289,2.17E-05,6.53E-07,0.0119398
0,0,0,-0.00657358,-0.00190443,0.19129,-8.04E-06,1.76E-05,0.0119436
0,0,0,-0.00657414,-0.00190609,0.191291,-1.22E-08,-2.75E-07,0.0119482
0,0,0,-0.00657648,-0.00190662,0.191291,2.33E-07,-4.53E-07,0.0119506
0,0,0,-0.00657892,-0.00190633,0.19129,-6.48E-06,-1.60E-06,0.0119524
0,0,0,-0.00658182,-0.00190661,0.19129,-8.04E-06,1.76E-05,0.0119555
0,0,0,-0.00658237,-0.00190827,0.191291,-1.22E-08,-2.75E-07,0.0119601
0,0,0,-0.00658472,-0.00190879,0.191291,2.33E-07,-4.53E-07,0.0119625
0,0,0,-0.00658744,-0.00191016,0.191289,2.17E-05,6.53E-07,0.0119636
0,0,0,-0.00659005,-0.00190878,0.19129,-8.04E-06,1.76E-05,0.0119674
0,0,0,-0.00659061,-0.00191044,0.191291,-1.22E-08,-2.75E-07,0.0119719
0,0,0,-0.00659295,-0.00191097,0.191291,2.33E-07,-4.53E-07,0.0119744
0,0,0,-0.00659567,-0.00191234,0.191289,2.17E-05,6.53E-07,0.0119755
0,0,0,-0.00659829,-0.00191096,0.19129,-8.04E-06,1.76E-05,0.0119793
0,0,0,-0.00659885,-0.00191262,0.191291,-1.22E-08,-2.75E-07,0.0119838
0,0,0,-0.00660119,-0.00191314,0.191291,2.33E-07,-4.53E-07,0.0119863
0,0,0,-0.00660391,-0.00191451,0.191289,2.17E-05,6.53E-07,0.0119873
0,0,0,-0.00660653,-0.00191313,0.19129,-8.04E-06,1.76E-05,0.0119912
0,0,0,-0.00660709,-0.0019148,0.191291,-1.22E-08,-2.75E-07,0.0119957
0,0,0,-0.00660943,-0.00191532,0.191291,2.33E-07,-4.53E-07,0.0119981
0,0,0,-0.00661215,-0.00191669,0.191289,2.17E-05,6.53E-07,0.0119992
0,0,0,-0.00661476,-0.00191531,0.19129,-8.04E-06,1.76E-05,0.0120031
0,0,0,-0.00661532,-0.00191697,0.191291,-1.22E-08,-2.75E-07,0.0120076
0,0,0,-0.00661835,-0.00191718,0.191291,-2.05E-06,-6.40E-07,0.0120103
0,0,0,-0.00662039,-0.00191887,0.191289,2.17E-05,6.53E-07,0.0120111
