xd,yd,zd,x,y,z,phi,the,psi
0,0,0,-0.000156994,-0.000748853,0.191292,-2.68E-06,8.18E-07,5.64E-05
0,0,0,-0.000157265,-0.000756833,0.191289,2.11E-05,-1.29E-08,5.03E-05
0,0,0,-0.000157513,-0.000761876,0.19129,-7.34E-06,-2.15E-08,4.47E-05
0,0,0,-0.000158015,-0.000768711,0.191292,-2.68E-06,8.18E-07,3.93E-05
0,0,0,-0.000158287,-0.000776691,0.191289,2.11E-05,-1.29E-08,3.32E-05
0,0,0,-0.000158534,-0.000781734,0.19129,-7.34E-06,-2.15E-08,2.77E-05
0,0,0,-0.000159036,-0.000788569,0.191292,-2.68E-06,8.18E-07,2.23E-05
0,0,0,-0.000159307,-0.000796549,0.191289,2.11E-05,-1.29E-08,1.62E-05
0,0,0,-0.000159554,-0.000801593,0.19129,-7.34E-06,-2.15E-08,1.06E-05
0,0,0,-0.000160056,-0.000808427,0.191292,-2.68E-06,8.18E-07,5.25E-06
0,0,0,-0.000160327,-0.000816408,0.191289,2.11E-05,-1.29E-08,-8.31E-07
0,0,0,-0.000160574,-0.000821451,0.19129,-7.34E-06,-2.15E-08,-6.39E-06
0,0,0,-0.000161076,-0.000828286,0.191292,-2.68E-06,8.18E-07,-1.18E-05
0,0,0,-0.000161347,-0.000836266,0.191289,2.11E-05,-1.29E-08,-1.79E-05
0,0,0,-0.000161594,-0.00084131,0.19129,-7.34E-06,-2.15E-08,-2.34E-05
0,0,0,-0.000162095,-0.000848144,0.191292,-2.68E-06,8.18E-07,-2.88E-05
0,0,0,-0.000162367,-0.000856125,0.191289,2.11E-05,-1.29E-08,-3.49E-05
0,0,0,-0.000162613,-0.000861168,0.19129,-7.34E-06,-2.15E-08,-4.04E-05
0,0,0,-0.000163114,-0.000868003,0.191292,-2.68E-06,8.18E-07,-4.58E-05
0,0,0,-0.000163386,-0.000875984,0.191289,2.11E-05,-1.29E-08,-5.19E-05
0,0,0,-0.000163632,-0.000881027,0.19129,-7.34E-06,-2.15E-08,-5.74E-05
0,0,0,-0.000163938,-0.000886985,0.19129,-7.34E-06,-2.15E-08,-6.25E-05
0,0,0,-0.000164404,-0.000895842,0.191289,2.11E-05,-1.29E-08,-6.88E-05
0,0,0,-0.00016465,-0.000900886,0.19129,-7.34E-06,-2.15E-08,-7.44E-05
0,0,0,-0.000165151,-0.000907721,0.191292,-2.68E-06,8.18E-07,-7.97E-05
0,0,0,-0.000165422,-0.000915701,0.191289,2.11E-05,-1.29E-08,-8.58E-05
0,0,0,-0.000165669,-0.000920745,0.19129,-7.34E-06,-2.15E-08,-9.13E-05
0,0,0,-0.000166169,-0.00092758,0.191292,-2.68E-06,8.18E-07,-9.67E-05
0,0,0,-0.000166475,-0.000933538,0.191292,-2.68E-06,8.18E-07,-0.000101786
0,0,0,-0.000166686,-0.000940604,0.19129,-7.34E-06,-2.15E-08,-0.000108295
0,0,0,-0.000167152,-0.000949462,0.191289,2.11E-05,-1.29E-08,-0.000114624
0,0,0,-0.000167458,-0.00095542,0.191289,2.11E-05,-1.29E-08,-0.000119706
0,0,0,-0.000167703,-0.000960464,0.19129,-7.34E-06,-2.15E-08,-0.000125236
0,0,0,-0.000168204,-0.000967298,0.191292,-2.68E-06,8.18E-07,-0.000130586
